id,news_id,video_prompt,status,video_url,priority,created_at,processed_at,finished_at,error_details
016c4d61-6a93-4f0d-8ef8-18b51fbaaa51,934c832c-f1f0-4600-b6ac-cd42211fc333,"Analiza esta noticia y crea un video cortado en 3 escenas de impacto.
              TÍTULO: Payroll startup Remote mejora eficiencia con IA
              RESUMEN: La startup de servicios de nómina Remote alcanza $300 millones en ARR gracias a un aumento del 50% en la rentabilidad por empleado con la adopción de IA.
              ESTILO: Informativo Neural Nexus.",pending,,80,2026-05-28 00:44:27.506081+00,,,
049939b8-94e1-471e-9681-90207ef92e14,f3c4d667-e567-45d5-9dd2-12b2934ff601,"Analiza esta noticia y crea un video cortado en 3 escenas de impacto.
              TÍTULO: Mejora en Modelos de Fundación con AWS
              RESUMEN: Hugging Face anuncia la integración de AWS para la formación e inferencia de modelos de fundación. Esto permite una mayor escalabilidad y eficiencia en el entrenamiento y uso de estos modelos.
              ESTILO: Informativo Neural Nexus.",pending,,80,2026-05-13 00:59:03.635146+00,,,
04b233b0-7e12-449a-ae36-0fd94decfa17,dcf8547d-7dc4-46c0-a3ed-411fd7f35ada,"Analiza esta noticia y crea un video cortado en 3 escenas de impacto.
              TÍTULO: Avances en Generación de Texto a Velocidad de Luz con Nemotron-Labs
              RESUMEN: Nemotron-Labs presenta un modelo de difusión de lenguaje que logra generar texto a una velocidad cercana a la de la luz. Este avance podría revolucionar la generación de contenido automatizado.
              ESTILO: Informativo Neural Nexus.",pending,,90,2026-05-23 00:43:35.17699+00,,,
05704b79-9ed8-4f34-924c-0b7237a024a2,50b91efc-86d6-424f-828f-678e63339286,"Analiza esta noticia y crea un video cortado en 3 escenas de impacto.
              TÍTULO: Spotify y Universal Music permiten canciones AI generadas por fans
              RESUMEN: Spotify y Universal Music Group colaboran para permitir a sus usuarios crear canciones y remixes con IA, con una participación de los artistas en las ganancias.
              ESTILO: Informativo Neural Nexus.",pending,,90,2026-05-22 00:08:08.307463+00,,,
07eacf1d-b430-452f-b5b7-9596d99f04d9,0681d855-bce6-44e5-813b-d9e042a327ea,"Analiza esta noticia y crea un video cortado en 3 escenas de impacto.
              TÍTULO: Mejora de la Inteligencia Artificial en Robot Video Generation
              RESUMEN: NVIDIA Cosmos Predict 2.5 se mejora con LoRA/DoRA para generar videos en robots. La actualización busca mejorar la precisión y eficiencia en la generación de contenido visual.
              ESTILO: Informativo Neural Nexus.",pending,,80,2026-05-19 00:56:26.24896+00,,,
0914a64b-30d4-404c-a1ef-6aa04ce82225,3099ab57-ca85-4443-b065-d7f3039cd8a1,"Analiza esta noticia y crea un video cortado en 3 escenas de impacto.
              TÍTULO: OpenAI redefine su estrategia de productos
              RESUMEN: Greg Brockman asume el cargo de estrategia de productos en OpenAI, mientras se combina ChatGPT y Codex.
              ESTILO: Informativo Neural Nexus.",pending,,90,2026-05-17 00:48:39.398735+00,,,
099e3e81-473c-45ab-8c85-f189d4fadd86,61fef9f7-7a4f-4cea-a48e-41a0eac7c9f7,"Analiza esta noticia y crea un video cortado en 3 escenas de impacto.
              TÍTULO: Reachy Mini: Robotica con Inteligencia Artificial en Local
              RESUMEN: Reachy Mini, un robot con IA, ahora opera de forma local sin necesidad de conexión a Internet. Este avance permite una mayor autonomía y privacidad.
              ESTILO: Informativo Neural Nexus.",pending,,80,2026-05-28 00:44:40.679906+00,,,
0c861926-650f-491e-96b2-839c155de5ff,f58e029d-065d-42c9-9fb1-9ea574f93d17,"Analiza esta noticia y crea un video cortado en 3 escenas de impacto.
              TÍTULO: OpenAI Resuelve Problema de Distancia Unitaria en Geometría Discreta
              RESUMEN: Un modelo de OpenAI ha resuelto el problema de la distancia unitaria, un enigma de 80 años en geometría discreta, demostrando el potencial de la IA en matemáticas.
              ESTILO: Informativo Neural Nexus.",pending,,90,2026-05-21 00:56:08.782388+00,,,
0cd47fa3-2c86-42fe-b3be-bc9a873a67d0,dc795585-4af2-40cd-8348-d302427bf3b1,"Analiza esta noticia y crea un video cortado en 3 escenas de impacto.
              TÍTULO: Mejoras en ChatGPT para conversaciones sensibles
              RESUMEN: OpenAI implementa actualizaciones para mejorar la conciencia de contexto en conversaciones delicadas, detectando riesgos y respondiendo con mayor seguridad.
              ESTILO: Informativo Neural Nexus.",pending,,90,2026-05-15 00:47:43.798141+00,,,
0cfdecb4-8318-4fea-9f3e-00fa30b4cfda,b022030a-e0a5-4de4-a8e4-bbca3bb2d0dd,"Analiza esta noticia y crea un video cortado en 3 escenas de impacto.
              TÍTULO: Chatbots de IA divulgan números de teléfono reales de usuarios
              RESUMEN: Usuarios reportan que sus números de teléfono personales fueron expuestos por Google AI. No hay una forma fácil de prevenir esto.
              ESTILO: Informativo Neural Nexus.",pending,,90,2026-05-14 00:49:03.717373+00,,,
